created_at,user,location,coordinates,text,retweet_count,favorite_count,id,nama_kota,avg_word,word_count,sentiment,analysis
2021-08-14 14:53:43,restrotangkot,"Jl. Daan Mogot No.5, Tangerang",,jajar polsek ciledug polres metro tangerang pimpin kapolsek ciledug kompol poltar aksi lumban gaol mgbutiga rxmqh,0,0,ID3172,JAKARTA TIMUR,6.125,21,2,Netral
2021-08-14 14:53:42,dryxanne,Jakarta,,habis tu bangun lsg brasa lrga hanya mimpi segitu pandemi bawa mimpi mimpi cemas ktsatu fnsztzd,0,0,ID3172,JAKARTA TIMUR,5.0,26,-4,Negatif
2021-08-14 14:53:24,bukanlucinta,"Jakarta, Indonesia.",,bertanyarl lho syukur bisa astra arti sehat bagus pasti diaprove dok lujnztiga msbd,0,0,ID3172,JAKARTA TIMUR,5.461538461538462,24,19,Positif
2021-08-14 14:53:09,mporatne,"DKI Jakarta, Indonesia",,trianadewi dipegangin bupati biar tidak takut,0,0,ID3172,JAKARTA TIMUR,6.666666666666668,11,0,Netral
2021-08-14 14:52:20,whopsy_opsy,Jakarta,,buset habis makan melulu,0,0,ID3172,JAKARTA TIMUR,5.25,6,1,Netral
2021-08-14 14:51:43,agus_harimin,bekasi,,fre desain katau buah sisi gambar mesan whatsapp kartuvaksin sertifikatvaksin qhqenam ajempat ock,0,0,ID3172,JAKARTA TIMUR,6.538461538461537,27,8,Positif
2021-08-14 14:51:29,PuntenMauJualan,"Jakarta Utara, DKI Jakarta",,pandemi seperti barang seperti milik ohqsembilan ntanpx,0,0,ID3172,JAKARTA TIMUR,7.0,23,-6,Negatif
2021-08-14 14:50:46,contactap2,"Tangerang, Indonesia",,ranranseratus perihal kuota batas imbau jam berangkat hindar kcenam uwidelapan aduh,0,0,ID3172,JAKARTA TIMUR,6.636363636363638,26,-8,Negatif
2021-08-14 14:50:34,contactap2,"Tangerang, Indonesia",,ranranseratus perihal registrasi daftar langsung lokasi tiket terbang ktpatau isatu rsembilan csatu,0,0,ID3172,JAKARTA TIMUR,7.333333333333332,27,4,Netral
2021-08-14 14:50:00,mediaindonesia,Jakarta - Indonesia,,sinopharm guna negara menteri sehat arab saudi melakuka iedgtxtdxenam,1,1,ID3172,JAKARTA TIMUR,6.777777777777778,20,5,Netral
2021-08-14 14:48:19,contactap2,"Tangerang, Indonesia",,ranranseratus ranranseratus informasi fasilitas bandara sultan sayarif kasim sedia ivtujuh ngdhwq,0,0,ID3172,JAKARTA TIMUR,7.909090909090909,30,2,Netral
2021-08-14 14:48:17,antogrifor123,"Jakarta Timur, DKI Jakarta",,boedinol belum selesai twet ta matraman kecamata tu tuyenam renam uzw,0,0,ID3172,JAKARTA TIMUR,5.363636363636363,28,-1,Negatif
2021-08-14 14:48:11,JokoLipService,Jakarta,,suntik beberapa negara olima tresatu,0,0,ID3172,JAKARTA TIMUR,6.4,13,0,Netral
2021-08-14 14:48:06,a_merrrrr,"Tangerang, Indonesia",,ditelenmuntah ditelenmuntah salah saranin sekolah kristen plng plng ketuker agama,0,0,ID3172,JAKARTA TIMUR,7.2,16,-4,Negatif
2021-08-14 14:47:59,kulitmanggah,"DKI Jakarta, Indonesia",,habis tangan pda sakit gel sedih,0,0,ID3172,JAKARTA TIMUR,4.5,9,-6,Negatif
2021-08-14 14:47:51,SharonLee94,"Jakarta Selatan, DKI Jakarta",,vhetiga puluh astra ngomong-ngomong lad vie tanggal bareng,0,0,ID3172,JAKARTA TIMUR,6.375,27,-1,Negatif
2021-08-14 14:46:48,achmad_enjoy,"DKI Jakarta, Indonesia",,asifasafitri tegalfes byb uni tidak habis angkat barbel,0,0,ID3172,JAKARTA TIMUR,6.0,14,0,Netral
2021-08-14 14:46:44,dhianisasa,"Jakarta Barat, DKI Jakarta",,jaejieju bertanyarl bantu konsul dokter cmiw,0,0,ID3172,JAKARTA TIMUR,6.5,20,3,Netral
2021-08-14 14:46:17,ahmadafifn_,"Jakarta, Indonesia ",,kabar kerabat infeksi langsung dadak panik jtcmquetpe,0,0,ID3172,JAKARTA TIMUR,6.7142857142857135,22,7,Positif
2021-08-14 14:45:42,halodenn,"Bekasi, Jawa Barat",,bertanyarl monmaf medis tidak sembarang kasih memang benar benar adan tidak dukung pasti moeaokhwdi,0,0,ID3172,JAKARTA TIMUR,6.142857142857142,25,13,Positif
2021-08-14 14:45:32,kompascom,Jakarta,,gubernur baswedan jabar turun signifikan mati pasien periode juli xjgdmztujuh ctujuh,0,4,ID3172,JAKARTA TIMUR,6.727272727272728,23,5,Netral
2021-08-14 14:45:03,AyoGerakBareng,"DKI Jakarta, Indonesia",,butuh ambulance medis evakuasi pasien covidatau non ant uochxsatu msembilan,0,1,ID3172,JAKARTA TIMUR,6.6,24,-5,Negatif
2021-08-14 14:45:00,inewsdotid,"Jakarta, Indonesia",,ratus narapidana huni lembaga masyarakat slawi positif tanpa gejala klinis owizynvaoq,0,0,ID3172,JAKARTA TIMUR,6.8181818181818175,18,-2,Negatif
